lease_id,tenant_id,property_id,start_date,end_date,rent_amount,lease_status,signature_status
138,1354,207,2024-09-09,2025-03-08,3228,Active,Pending Signature
139,1019,209,2025-01-19,2026-01-14,2600,Ended,Pending Signature
140,365,210,2025-08-04,2026-07-30,3801,Active,Pending Signature
141,1505,214,2024-04-28,2024-10-25,3601,Expiring Soon,Pending Signature
142,1384,215,2024-09-09,2026-03-03,2201,Ended,Digital Signed
143,35,218,2025-11-06,2026-11-01,3761,Ended,Digital Signed
144,1467,220,2025-04-27,2026-10-19,1440,Active,Pending Signature
145,1684,221,2024-01-29,2025-01-23,3534,Ended,Manual Signed
146,1499,222,2025-03-07,2026-08-29,3544,Expiring Soon,Digital Signed
147,309,223,2024-12-17,2025-12-12,1876,Active,Digital Signed
148,1437,224,2025-06-17,2025-12-14,2353,Expiring Soon,Pending Signature
149,801,225,2024-09-19,2025-03-18,2486,Expiring Soon,Digital Signed
150,772,228,2024-02-05,2024-08-03,1800,Ended,Manual Signed
151,755,230,2025-04-17,2026-04-12,1516,Active,Pending Signature
152,1426,231,2025-07-02,2026-06-27,1413,Expiring Soon,Pending Signature
153,1953,232,2024-02-13,2025-02-07,3753,Active,Digital Signed
154,818,234,2024-07-12,2026-07-02,1627,Ended,Digital Signed
155,1094,235,2024-05-18,2025-11-09,1310,Active,Digital Signed
156,788,236,2024-09-27,2025-09-22,3631,Expiring Soon,Pending Signature
157,1565,237,2024-08-01,2026-01-23,958,Active,Manual Signed
158,350,239,2024-04-14,2025-04-09,3965,Active,Manual Signed
159,1253,241,2024-10-04,2026-03-28,3876,Active,Manual Signed
160,1782,250,2025-08-15,2026-08-10,3757,Ended,Pending Signature
161,725,251,2024-08-04,2025-01-31,3235,Ended,Pending Signature
162,1178,252,2025-08-11,2026-02-07,1136,Expiring Soon,Pending Signature
163,1699,253,2025-02-15,2026-02-10,4008,Ended,Manual Signed
164,193,254,2024-01-04,2025-12-24,2198,Active,Digital Signed
165,284,255,2025-06-01,2027-05-22,1249,Active,Manual Signed
166,663,256,2025-06-05,2026-11-27,2294,Active,Pending Signature
167,918,257,2024-12-25,2025-06-23,2915,Active,Pending Signature
168,419,259,2025-07-04,2026-12-26,4112,Active,Pending Signature
169,631,260,2024-05-06,2025-10-28,1602,Active,Digital Signed
170,1264,262,2024-01-22,2025-07-15,3066,Ended,Manual Signed
171,1039,263,2024-05-02,2024-10-29,1265,Expiring Soon,Pending Signature
172,1215,264,2024-02-05,2025-01-30,2912,Active,Digital Signed
173,1159,265,2025-08-27,2027-08-17,2610,Ended,Digital Signed
174,1825,266,2025-06-03,2026-11-25,4093,Active,Manual Signed
175,1951,268,2025-04-26,2026-10-18,1127,Active,Manual Signed
176,333,269,2024-08-15,2025-08-10,3854,Active,Pending Signature
177,704,271,2024-10-17,2026-04-10,2360,Expiring Soon,Digital Signed
178,668,272,2024-09-14,2025-03-13,1323,Active,Manual Signed
179,458,275,2024-01-09,2025-12-29,2812,Active,Manual Signed
180,1234,276,2024-04-25,2025-04-20,2930,Active,Manual Signed
181,559,277,2025-10-14,2027-04-07,3144,Active,Digital Signed
182,1375,278,2025-07-12,2026-07-07,1698,Expiring Soon,Digital Signed
183,892,279,2024-12-23,2025-12-18,3464,Active,Digital Signed
184,1287,282,2024-09-25,2025-03-24,3820,Active,Digital Signed
185,1304,283,2024-03-28,2026-03-18,3975,Active,Manual Signed
186,19,285,2025-10-30,2026-10-25,3245,Expiring Soon,Pending Signature
187,1512,286,2024-05-17,2024-11-13,3707,Active,Pending Signature
188,611,287,2024-03-08,2024-09-04,2357,Active,Manual Signed
189,1816,288,2025-05-21,2027-05-11,3661,Active,Digital Signed
190,280,290,2025-08-01,2026-07-27,3164,Active,Pending Signature
191,1765,291,2025-01-15,2026-01-10,1316,Ended,Manual Signed
192,1245,292,2024-03-18,2024-09-14,987,Ended,Pending Signature
193,47,293,2025-09-22,2026-09-17,1274,Active,Manual Signed
194,912,294,2024-05-27,2025-05-22,2965,Active,Manual Signed
195,550,297,2025-04-21,2025-10-18,2886,Ended,Manual Signed
196,1285,298,2025-07-25,2027-01-16,3542,Active,Manual Signed
197,974,300,2025-02-03,2026-01-29,1037,Ended,Pending Signature
198,293,303,2024-07-28,2025-07-23,1402,Active,Pending Signature
199,1567,305,2024-03-21,2025-09-12,3476,Active,Digital Signed
200,1265,306,2024-07-08,2025-07-03,3284,Active,Pending Signature
201,844,308,2025-10-23,2026-10-18,2576,Active,Pending Signature
202,867,310,2024-04-12,2024-10-09,3280,Ended,Manual Signed
203,1209,311,2024-02-22,2024-08-20,2375,Active,Pending Signature
204,624,312,2025-01-26,2027-01-16,1577,Expiring Soon,Digital Signed
205,129,313,2025-01-25,2026-01-20,1298,Active,Pending Signature
206,897,316,2024-01-13,2025-01-07,2879,Ended,Pending Signature
207,1176,317,2025-04-04,2026-03-30,2113,Active,Digital Signed
208,1268,321,2024-02-05,2024-08-03,3329,Ended,Pending Signature
209,812,323,2024-08-30,2026-02-21,1057,Expiring Soon,Manual Signed
210,993,325,2024-05-18,2024-11-14,3477,Ended,Pending Signature
211,45,327,2024-07-20,2026-01-11,4118,Ended,Manual Signed
212,1152,329,2024-02-01,2024-07-30,1299,Active,Pending Signature
213,8,330,2025-05-02,2027-04-22,2668,Active,Digital Signed
214,1134,331,2024-03-02,2024-08-29,1838,Expiring Soon,Digital Signed
215,1602,334,2024-05-19,2025-05-14,1449,Ended,Digital Signed
216,1220,335,2024-01-27,2025-07-20,2013,Active,Manual Signed
217,937,336,2025-04-17,2025-10-14,3970,Active,Digital Signed
218,629,339,2025-11-01,2027-04-25,2398,Active,Digital Signed
219,1405,342,2024-04-05,2024-10-02,2831,Active,Manual Signed
220,1393,343,2025-01-24,2027-01-14,1042,Active,Manual Signed
221,1020,344,2025-06-05,2026-11-27,1012,Active,Manual Signed
222,523,346,2025-02-03,2026-07-28,2311,Active,Digital Signed
223,1146,349,2024-05-02,2024-10-29,3194,Active,Pending Signature
224,721,350,2024-10-13,2026-04-06,3978,Active,Pending Signature
225,1266,352,2024-04-23,2026-04-13,2177,Active,Manual Signed
226,1743,353,2024-03-11,2025-09-02,3830,Active,Pending Signature
227,1170,354,2024-09-19,2025-09-14,3663,Active,Pending Signature
228,583,355,2024-02-25,2025-02-19,1539,Active,Pending Signature
229,831,356,2024-10-27,2025-10-22,2793,Active,Pending Signature
230,565,358,2024-05-27,2024-11-23,3141,Expiring Soon,Digital Signed
231,155,359,2024-05-27,2025-05-22,3318,Active,Digital Signed
232,1043,360,2025-08-24,2026-08-19,3986,Active,Digital Signed
233,397,361,2025-11-11,2026-05-10,1581,Ended,Pending Signature
234,1644,362,2024-11-08,2026-05-02,2583,Expiring Soon,Digital Signed
235,1246,363,2025-01-19,2027-01-09,1348,Active,Digital Signed
236,1643,366,2025-11-21,2026-11-16,1987,Expiring Soon,Manual Signed
237,1033,367,2025-10-02,2026-09-27,2541,Active,Digital Signed
238,1735,369,2024-08-18,2025-08-13,2041,Expiring Soon,Pending Signature
239,620,370,2024-03-21,2025-09-12,1446,Ended,Pending Signature
240,231,372,2025-07-24,2026-01-20,1926,Active,Pending Signature
241,842,374,2024-12-19,2025-12-14,2208,Ended,Manual Signed
242,947,375,2024-12-25,2025-06-23,3752,Expiring Soon,Digital Signed
243,497,377,2024-05-14,2024-11-10,3570,Active,Manual Signed
244,592,378,2025-11-14,2026-05-13,1736,Active,Manual Signed
245,1719,380,2025-08-18,2026-02-14,1597,Active,Pending Signature
246,939,382,2025-07-07,2026-12-29,3538,Active,Manual Signed
247,1063,385,2025-09-13,2027-09-03,3803,Expiring Soon,Pending Signature
248,1933,387,2025-05-05,2027-04-25,2526,Expiring Soon,Manual Signed
249,1291,388,2025-11-21,2027-05-15,2447,Active,Digital Signed
250,423,389,2025-04-19,2026-10-11,4034,Active,Digital Signed
251,817,391,2025-05-27,2027-05-17,2150,Active,Pending Signature
252,1502,392,2025-04-12,2026-04-07,2636,Active,Manual Signed
253,1191,394,2024-08-24,2026-02-15,3303,Ended,Digital Signed
254,1099,395,2025-08-01,2026-01-28,2995,Ended,Digital Signed
255,1656,398,2025-05-17,2026-05-12,1179,Ended,Manual Signed
256,219,399,2024-05-13,2024-11-09,1620,Expiring Soon,Pending Signature
257,780,400,2024-02-14,2024-08-12,3566,Expiring Soon,Manual Signed
258,600,401,2025-06-25,2026-06-20,1869,Expiring Soon,Manual Signed
259,1591,402,2025-10-02,2026-09-27,2969,Active,Pending Signature
260,1197,403,2024-08-23,2025-08-18,1189,Ended,Pending Signature
261,58,404,2025-06-06,2026-11-28,4082,Active,Pending Signature
262,544,405,2024-02-10,2026-01-30,3072,Active,Digital Signed
263,594,407,2024-08-17,2026-08-07,3768,Ended,Pending Signature
264,648,408,2024-11-22,2025-11-17,1084,Expiring Soon,Digital Signed
265,21,409,2024-05-31,2024-11-27,1546,Active,Digital Signed
266,1623,411,2024-06-19,2025-06-14,2858,Expiring Soon,Manual Signed
267,1239,413,2024-05-31,2024-11-27,2590,Active,Pending Signature
268,342,414,2024-01-02,2024-12-27,3381,Active,Digital Signed
269,1358,415,2024-03-03,2024-08-30,3972,Active,Manual Signed
270,1311,416,2025-06-15,2026-12-07,3661,Active,Pending Signature
271,1055,417,2025-02-16,2026-08-10,1084,Active,Manual Signed
272,1652,418,2024-04-23,2026-04-13,3025,Active,Digital Signed
273,808,419,2025-06-12,2027-06-02,2703,Ended,Manual Signed
274,1794,420,2024-04-02,2024-09-29,2285,Active,Digital Signed
275,670,421,2025-02-19,2025-08-18,2326,Active,Manual Signed
276,351,422,2024-04-04,2025-09-26,3299,Ended,Manual Signed
277,243,423,2025-10-04,2026-09-29,3017,Active,Digital Signed
278,1712,425,2025-05-21,2026-05-16,2639,Expiring Soon,Manual Signed
279,1818,428,2025-08-18,2027-08-08,3406,Ended,Manual Signed
280,65,429,2025-04-15,2027-04-05,3815,Active,Pending Signature
281,336,430,2024-01-10,2025-12-30,2525,Active,Pending Signature
282,286,432,2025-07-10,2026-01-06,3023,Ended,Pending Signature
283,1969,434,2025-05-06,2026-05-01,2455,Expiring Soon,Digital Signed
284,940,436,2024-02-11,2024-08-09,2129,Active,Manual Signed
285,81,437,2025-08-26,2027-08-16,2464,Active,Manual Signed
286,813,438,2024-08-12,2025-08-07,1163,Expiring Soon,Digital Signed
287,820,439,2024-04-09,2025-04-04,1645,Expiring Soon,Digital Signed
288,1133,444,2024-04-08,2026-03-29,2809,Active,Pending Signature
289,1233,445,2024-04-04,2026-03-25,2273,Ended,Manual Signed
290,1847,447,2025-01-13,2026-01-08,3464,Active,Manual Signed
291,126,449,2024-05-24,2026-05-14,3656,Active,Digital Signed
292,38,450,2024-01-19,2025-01-13,2235,Active,Manual Signed
293,1721,451,2024-01-13,2024-07-11,1004,Active,Digital Signed
294,1115,452,2024-11-27,2025-11-22,1408,Active,Pending Signature
295,367,454,2025-02-24,2025-08-23,1370,Expiring Soon,Pending Signature
296,555,455,2025-01-19,2027-01-09,3310,Ended,Manual Signed
297,1095,456,2024-09-13,2025-09-08,2744,Ended,Manual Signed
298,1708,457,2024-10-06,2026-03-30,2106,Expiring Soon,Pending Signature
299,518,460,2024-05-31,2024-11-27,1381,Active,Digital Signed
300,735,461,2025-07-17,2026-07-12,1776,Active,Manual Signed
301,1066,463,2024-01-17,2025-01-11,4113,Ended,Digital Signed
302,214,466,2025-06-03,2026-05-29,2477,Active,Manual Signed
303,454,467,2024-08-15,2026-08-05,3681,Expiring Soon,Manual Signed
304,1140,469,2024-10-22,2025-04-20,3947,Active,Pending Signature
305,1797,470,2024-05-24,2024-11-20,4007,Ended,Pending Signature
306,1106,472,2025-05-27,2025-11-23,2802,Expiring Soon,Pending Signature
307,1174,474,2024-11-28,2025-11-23,3312,Expiring Soon,Digital Signed
308,1138,475,2025-01-02,2025-12-28,2262,Expiring Soon,Pending Signature
309,390,477,2024-06-12,2025-06-07,1931,Active,Pending Signature
310,1792,480,2024-01-18,2024-07-16,1136,Active,Digital Signed
311,1364,481,2024-06-12,2026-06-02,3743,Active,Manual Signed
312,1648,484,2024-05-22,2026-05-12,3462,Active,Digital Signed
313,85,485,2025-07-16,2026-01-12,3281,Expiring Soon,Digital Signed
314,676,486,2025-10-05,2026-09-30,3788,Active,Pending Signature
315,989,488,2025-08-01,2026-01-28,1623,Active,Manual Signed
316,1366,489,2025-02-11,2025-08-10,1172,Active,Digital Signed
317,1129,490,2025-04-20,2027-04-10,1174,Active,Digital Signed
318,486,491,2024-02-26,2025-02-20,2703,Expiring Soon,Pending Signature
319,1219,492,2024-01-25,2024-07-23,1999,Active,Digital Signed
320,971,494,2025-07-29,2026-07-24,4166,Ended,Digital Signed
