property_id,property_name,property_type,city,address,monthly_rent,status,bedrooms,bathrooms,sqft,amenities,latitude,longitude,created_at
36,Arlington Residency 36,Apartment,Arlington,344 Oak Ave,1163,Available,4,3.0,2083,"Parking, Storage, Pet Friendly",30.397762,-98.42867,2025-04-29
37,Fort Worth Villas 37,Single Family Home,Fort Worth,689 Market Blvd,3815,Occupied,2,2.5,1699,"Storage, Pool, Gym, Clubhouse",30.078346,-98.410126,2025-02-10
38,Houston Heights 38,Apartment,Houston,618 Lake Rd,1367,Maintenance,3,1.5,1885,"Storage, Parking, Security",31.564608,-96.184675,2024-01-13
39,Irving Lakeview 39,Condo,Irving,374 Lake Rd,2433,Occupied,1,2.5,2533,"Gym, Elevator, Balcony, Clubhouse, Laundry, Pet Friendly",31.327058,-95.609929,2024-09-08
40,Fort Worth Villas 40,Townhouse,Fort Worth,448 Lake Rd,4023,Occupied,3,1.5,2553,"Security, Parking, Clubhouse, Laundry, Gym, Pool",31.406425,-97.258113,2025-09-02
41,San Antonio Villas 41,Single Family Home,San Antonio,326 Market Blvd,1732,Available,1,3.0,1000,"Clubhouse, Elevator, Pet Friendly, Security, Storage, Laundry",31.268611,-98.439649,2025-12-09
42,Houston Residency 42,Townhouse,Houston,223 Oak Ave,2461,Occupied,4,3.0,2588,"Laundry, Elevator, Security, Gym, Clubhouse",31.288108,-97.42682,2024-11-19
43,Fort Worth Villas 43,Single Family Home,Fort Worth,114 Elm St,1734,Occupied,4,1.5,1536,"Storage, Elevator, Balcony, Parking, Pool",30.736863,-97.236916,2024-05-09
44,San Antonio Villas 44,Apartment,San Antonio,982 Market Blvd,2146,Occupied,1,3.0,1167,"Pool, Parking, Balcony, Pet Friendly, Laundry, Security",30.892471,-95.120758,2024-04-26
45,Fort Worth Residency 45,Condo,Fort Worth,894 Elm St,3313,Available,3,1.0,869,"Pool, Pet Friendly, Storage, Balcony, Elevator",31.822112,-95.732407,2025-01-24
46,Arlington Heights 46,Condo,Arlington,260 Oak Ave,2706,Occupied,2,3.0,1900,"Storage, Pool, Pet Friendly",31.889303,-97.573739,2024-06-26
47,Fort Worth Gardens 47,Villa,Fort Worth,339 Lake Rd,2795,Occupied,1,2.5,3082,"Pet Friendly, Balcony, Elevator",32.160456,-96.91089,2026-03-17
48,Houston Lakeview 48,Condo,Houston,395 Market Blvd,1870,Maintenance,1,3.0,1260,"Pool, Parking, Gym, Laundry",30.776641,-95.878648,2024-05-07
49,Arlington Gardens 49,Townhouse,Arlington,956 Elm St,2065,Occupied,4,2.5,2699,"Pool, Parking, Laundry, Security, Gym, Balcony",30.576288,-98.180356,2025-08-24
50,Dallas Villas 50,Townhouse,Dallas,786 Main St,4075,Occupied,3,1.0,1367,"Balcony, Gym, Laundry, Security, Pet Friendly, Parking",31.345036,-97.070782,2024-06-13
51,Plano Square 51,Condo,Plano,513 Elm St,2130,Occupied,4,2.5,2290,"Clubhouse, Pool, Security",30.583396,-98.094274,2024-01-02
52,Arlington Gardens 52,Condo,Arlington,596 Main St,3073,Occupied,1,1.5,2131,"Clubhouse, Parking, Pet Friendly, Gym, Balcony, Pool",32.946855,-96.966594,2024-01-30
53,Houston Gardens 53,Villa,Houston,398 Elm St,1006,Occupied,2,3.0,2912,"Pool, Clubhouse, Storage, Security",32.612501,-96.755686,2025-12-23
54,San Antonio Villas 54,Condo,San Antonio,906 Elm St,1948,Occupied,3,2.5,2520,"Pet Friendly, Elevator, Gym, Laundry, Parking, Clubhouse",32.404363,-95.509557,2024-09-30
55,Dallas Villas 55,Townhouse,Dallas,990 Oak Ave,3354,Reserved,4,2.0,3025,"Gym, Clubhouse, Elevator, Storage, Laundry, Balcony",32.370054,-97.179765,2025-12-15
56,Houston Square 56,Single Family Home,Houston,202 Market Blvd,4126,Available,3,1.5,2332,"Laundry, Storage, Gym, Pet Friendly, Parking, Pool",31.458019,-96.434368,2024-04-12
57,Arlington Park 57,Apartment,Arlington,424 Market Blvd,2629,Available,4,1.5,1282,"Security, Laundry, Pool, Elevator, Gym",32.683195,-95.492302,2025-07-08
58,Dallas Heights 58,Single Family Home,Dallas,147 Lake Rd,3535,Reserved,1,1.5,1827,"Laundry, Pool, Elevator",31.252875,-96.070996,2026-03-26
59,Dallas Residency 59,Townhouse,Dallas,609 Elm St,2714,Available,2,2.0,1246,"Storage, Gym, Elevator, Pool, Parking, Balcony",32.747939,-96.331014,2024-05-26
60,Houston Park 60,Condo,Houston,806 Lake Rd,2832,Occupied,4,2.0,1695,"Balcony, Elevator, Gym, Parking, Pet Friendly, Clubhouse",33.156781,-97.45296,2025-04-12
61,San Antonio Square 61,Villa,San Antonio,802 Main St,1386,Occupied,3,2.5,1621,"Storage, Balcony, Elevator, Parking, Security",31.08532,-98.471657,2025-09-12
62,Arlington Residency 62,Townhouse,Arlington,192 Lake Rd,2393,Occupied,2,3.0,1547,"Gym, Pool, Parking, Storage, Pet Friendly",29.816776,-97.222986,2024-11-30
63,Irving Park 63,Villa,Irving,925 Lake Rd,4171,Maintenance,2,1.5,2859,"Elevator, Storage, Balcony, Laundry, Pool",30.599395,-95.613586,2026-02-03
64,Plano Villas 64,Apartment,Plano,788 Lake Rd,1526,Maintenance,3,1.0,1574,"Elevator, Security, Pool, Laundry, Pet Friendly, Parking",30.625605,-98.067439,2025-08-21
65,Irving Park 65,Townhouse,Irving,219 Oak Ave,2881,Occupied,1,1.5,752,"Storage, Pet Friendly, Pool, Security, Elevator",32.882857,-97.442334,2024-02-16
66,Dallas Lakeview 66,Townhouse,Dallas,529 Elm St,1348,Maintenance,3,1.0,1611,"Laundry, Clubhouse, Security, Elevator",33.022833,-96.062306,2026-01-30
67,Austin Heights 67,Condo,Austin,802 Lake Rd,2954,Occupied,4,1.0,3171,"Parking, Security, Pet Friendly, Clubhouse, Laundry",33.026943,-95.505924,2025-07-11
68,Plano Residency 68,Apartment,Plano,170 Elm St,1727,Reserved,3,2.0,1150,"Pool, Pet Friendly, Parking, Clubhouse, Gym, Storage",33.160873,-95.745577,2024-07-31
69,Houston Heights 69,Villa,Houston,234 Main St,4180,Available,2,1.5,3091,"Gym, Elevator, Balcony, Laundry",30.31074,-96.186298,2025-01-01
70,Houston Lakeview 70,Single Family Home,Houston,326 Elm St,1663,Available,2,1.0,1736,"Elevator, Pool, Storage, Pet Friendly, Laundry, Gym",31.496333,-98.118311,2024-02-14
71,San Antonio Villas 71,Condo,San Antonio,739 Elm St,1199,Occupied,4,1.0,2611,"Pool, Clubhouse, Elevator, Parking, Laundry, Gym",31.829041,-98.270112,2025-07-15
72,Plano Park 72,Condo,Plano,525 Main St,2157,Occupied,3,3.0,2508,"Pool, Storage, Pet Friendly, Clubhouse, Laundry, Elevator",31.148347,-95.604033,2024-11-16
73,Irving Residency 73,Townhouse,Irving,669 Main St,2483,Occupied,4,2.0,1275,"Pool, Storage, Elevator, Parking, Pet Friendly, Laundry",32.306061,-97.195736,2025-08-23
74,Plano Residency 74,Apartment,Plano,772 Market Blvd,3675,Maintenance,3,2.0,2382,"Balcony, Storage, Security",30.062602,-96.724056,2024-08-17
75,Fort Worth Square 75,Townhouse,Fort Worth,416 Lake Rd,1420,Occupied,3,2.0,1791,"Elevator, Storage, Parking, Balcony, Security, Gym",29.801336,-97.543554,2024-12-25
76,Dallas Residency 76,Villa,Dallas,478 Lake Rd,3642,Available,2,3.0,2291,"Pool, Elevator, Pet Friendly",31.01668,-96.91224,2026-01-08
77,Plano Park 77,Single Family Home,Plano,524 Lake Rd,1165,Available,3,1.0,1287,"Pool, Balcony, Clubhouse",32.016785,-96.800184,2024-08-08
78,Fort Worth Residency 78,Townhouse,Fort Worth,885 Oak Ave,2110,Occupied,3,1.0,3079,"Parking, Pet Friendly, Laundry, Balcony, Storage",29.726905,-97.445032,2026-02-21
79,San Antonio Villas 79,Townhouse,San Antonio,173 Market Blvd,981,Occupied,2,1.0,2687,"Gym, Laundry, Pet Friendly, Balcony",31.655532,-96.161831,2026-01-29
80,Dallas Park 80,Condo,Dallas,951 Lake Rd,1268,Occupied,1,2.5,1932,"Laundry, Balcony, Pool, Pet Friendly, Parking, Gym",30.301556,-95.18335,2024-03-31
81,Irving Lakeview 81,Apartment,Irving,298 Lake Rd,3362,Occupied,2,2.5,2290,"Balcony, Security, Pet Friendly, Gym, Pool, Parking",31.486691,-98.100907,2024-12-25
82,Austin Park 82,Villa,Austin,797 Elm St,1998,Available,1,1.5,1458,"Pool, Gym, Clubhouse, Pet Friendly",32.34056,-95.84043,2025-10-20
83,Plano Heights 83,Townhouse,Plano,477 Lake Rd,1229,Occupied,2,2.5,2570,"Balcony, Parking, Security, Storage, Elevator",30.786427,-96.918301,2024-03-19
84,Fort Worth Heights 84,Single Family Home,Fort Worth,561 Main St,2524,Occupied,3,3.0,2545,"Clubhouse, Pet Friendly, Security",31.81752,-96.745214,2026-04-10
85,Plano Gardens 85,Apartment,Plano,712 Main St,1110,Occupied,3,1.5,1664,"Elevator, Storage, Gym, Clubhouse, Laundry, Security",31.055958,-95.789373,2026-03-19
86,Plano Gardens 86,Apartment,Plano,501 Oak Ave,3235,Available,2,1.0,2233,"Security, Pool, Gym, Clubhouse",30.785811,-96.203808,2025-09-01
87,Fort Worth Residency 87,Townhouse,Fort Worth,449 Market Blvd,3585,Occupied,3,2.5,1995,"Laundry, Elevator, Security",29.763807,-97.418969,2024-07-15
88,Houston Gardens 88,Villa,Houston,889 Elm St,2161,Occupied,2,1.0,1064,"Security, Gym, Laundry",30.239885,-97.867039,2026-04-08
89,Austin Gardens 89,Condo,Austin,684 Market Blvd,2442,Reserved,1,2.5,1622,"Clubhouse, Pet Friendly, Elevator, Gym, Storage",32.86391,-97.820943,2025-04-17
90,San Antonio Gardens 90,Condo,San Antonio,966 Elm St,2664,Occupied,3,3.0,1313,"Balcony, Parking, Clubhouse, Laundry",30.999242,-95.229973,2024-05-07
91,San Antonio Residency 91,Apartment,San Antonio,495 Main St,2790,Available,2,2.0,2752,"Pool, Pet Friendly, Clubhouse, Gym, Parking, Elevator",29.886399,-96.742975,2025-01-18
92,Houston Park 92,Apartment,Houston,559 Elm St,3877,Occupied,2,1.0,2023,"Parking, Balcony, Clubhouse, Security",32.608887,-95.844056,2024-01-06
93,Fort Worth Lakeview 93,Apartment,Fort Worth,568 Main St,1562,Reserved,2,1.5,2897,"Pool, Balcony, Pet Friendly, Gym, Parking, Security",30.534538,-96.263669,2024-04-23
94,Arlington Residency 94,Single Family Home,Arlington,780 Main St,3538,Occupied,3,1.0,2760,"Balcony, Laundry, Parking, Storage",30.934856,-96.502677,2025-06-20
95,Plano Residency 95,Apartment,Plano,850 Main St,3028,Occupied,3,3.0,2729,"Clubhouse, Parking, Laundry, Gym, Storage, Elevator",30.949829,-98.263542,2026-03-01
96,Plano Park 96,Villa,Plano,137 Lake Rd,3186,Occupied,1,2.0,2036,"Clubhouse, Storage, Gym, Laundry",30.171984,-95.993842,2024-07-25
97,Dallas Heights 97,Villa,Dallas,918 Lake Rd,2220,Occupied,1,2.0,2761,"Balcony, Parking, Pet Friendly, Gym, Laundry, Elevator",32.730294,-97.338264,2025-03-23
98,Irving Square 98,Condo,Irving,284 Elm St,1715,Occupied,3,2.0,2682,"Elevator, Balcony, Pool, Security, Pet Friendly",29.976245,-96.391413,2024-10-27
99,Plano Gardens 99,Apartment,Plano,910 Main St,3657,Occupied,1,2.0,1860,"Gym, Clubhouse, Security, Pet Friendly, Parking, Storage",31.85198,-96.977708,2024-03-17
100,Irving Heights 100,Townhouse,Irving,719 Oak Ave,1077,Occupied,3,1.5,1234,"Parking, Gym, Pool, Clubhouse, Security, Elevator",30.967527,-95.176865,2025-11-26
101,Arlington Lakeview 101,Townhouse,Arlington,496 Elm St,4075,Occupied,2,2.5,964,"Laundry, Security, Balcony, Pool, Parking",29.790697,-97.848832,2024-04-30
102,San Antonio Heights 102,Townhouse,San Antonio,929 Lake Rd,1828,Available,4,2.5,3156,"Pet Friendly, Pool, Gym, Laundry, Parking, Storage",30.304297,-96.003205,2025-11-14
103,Plano Residency 103,Apartment,Plano,909 Market Blvd,2139,Maintenance,3,3.0,1878,"Security, Elevator, Pet Friendly, Parking",33.147964,-95.72777,2024-01-27
104,Plano Lakeview 104,Single Family Home,Plano,520 Market Blvd,2864,Available,3,2.0,2909,"Pool, Balcony, Laundry",33.198583,-95.983956,2025-08-11
105,Fort Worth Heights 105,Villa,Fort Worth,951 Main St,2793,Occupied,2,1.0,2558,"Gym, Elevator, Storage, Laundry, Pool",31.214164,-95.312507,2025-06-14
106,Austin Lakeview 106,Townhouse,Austin,646 Main St,2271,Occupied,2,1.5,1573,"Pool, Balcony, Pet Friendly, Security, Elevator",30.660579,-96.312422,2025-05-29
107,Austin Villas 107,Single Family Home,Austin,766 Oak Ave,1651,Occupied,3,1.5,3128,"Parking, Pool, Storage",33.019914,-95.801422,2026-02-24
108,Irving Park 108,Single Family Home,Irving,525 Market Blvd,2989,Available,4,1.0,2884,"Clubhouse, Pet Friendly, Laundry, Gym, Elevator",29.955406,-98.290304,2025-04-20
109,Houston Heights 109,Townhouse,Houston,373 Market Blvd,2230,Occupied,3,1.5,1957,"Laundry, Gym, Security, Balcony, Storage",30.071644,-97.653917,2024-09-10
110,Austin Park 110,Apartment,Austin,610 Lake Rd,2523,Occupied,1,2.0,3170,"Security, Storage, Pet Friendly, Laundry",30.257698,-95.014107,2025-05-24
111,Dallas Park 111,Apartment,Dallas,392 Elm St,2822,Available,3,3.0,1636,"Parking, Storage, Balcony, Pet Friendly, Clubhouse",32.788188,-96.21009,2024-01-09
112,Fort Worth Heights 112,Condo,Fort Worth,495 Elm St,3929,Occupied,2,2.0,2148,"Parking, Laundry, Storage, Balcony, Elevator",30.381294,-96.56372,2025-04-06
113,San Antonio Heights 113,Single Family Home,San Antonio,146 Main St,1436,Reserved,4,3.0,1177,"Security, Storage, Elevator, Laundry, Pool, Clubhouse",31.80862,-97.095145,2024-05-20
114,Plano Villas 114,Condo,Plano,707 Lake Rd,1560,Maintenance,3,2.5,3133,"Security, Storage, Gym, Pet Friendly",33.167155,-95.912382,2025-06-03
115,Arlington Gardens 115,Single Family Home,Arlington,901 Elm St,1018,Occupied,2,2.5,2158,"Laundry, Balcony, Parking",31.789184,-97.570643,2025-08-14
116,Houston Park 116,Apartment,Houston,255 Market Blvd,1648,Occupied,3,2.5,2797,"Gym, Pet Friendly, Parking, Balcony, Security, Clubhouse",30.367745,-96.956365,2025-12-08
117,Houston Park 117,Condo,Houston,645 Lake Rd,2881,Occupied,3,3.0,905,"Elevator, Security, Clubhouse, Balcony",31.018887,-95.151601,2025-07-13
118,Plano Park 118,Townhouse,Plano,457 Elm St,1737,Available,3,2.5,1659,"Pet Friendly, Balcony, Elevator, Security, Pool",32.11584,-96.788489,2026-03-25
119,San Antonio Villas 119,Townhouse,San Antonio,865 Market Blvd,3721,Occupied,1,3.0,2874,"Security, Gym, Balcony, Parking, Elevator, Laundry",30.912272,-96.951684,2024-08-07
120,Houston Villas 120,Single Family Home,Houston,834 Market Blvd,3801,Available,2,3.0,1762,"Pet Friendly, Parking, Storage, Security",30.514928,-98.149307,2024-04-12
121,Austin Gardens 121,Apartment,Austin,687 Oak Ave,2616,Occupied,3,1.5,2598,"Balcony, Security, Storage, Elevator",29.907069,-95.809463,2025-07-01
122,Dallas Villas 122,Villa,Dallas,391 Market Blvd,1098,Occupied,3,1.5,2276,"Balcony, Parking, Elevator, Gym",31.687867,-98.124448,2025-10-18
123,Arlington Villas 123,Villa,Arlington,681 Oak Ave,2067,Occupied,3,2.5,1439,"Gym, Clubhouse, Balcony, Security, Pool",29.749295,-97.320107,2024-06-28
124,Irving Park 124,Condo,Irving,871 Lake Rd,1305,Occupied,3,2.0,2291,"Gym, Clubhouse, Security, Pool",29.723905,-97.15749,2024-12-03
125,San Antonio Gardens 125,Single Family Home,San Antonio,888 Lake Rd,996,Occupied,4,3.0,1721,"Parking, Pool, Clubhouse, Gym",30.259009,-96.098742,2025-12-07
126,Fort Worth Square 126,Townhouse,Fort Worth,780 Oak Ave,1854,Reserved,2,3.0,1547,"Gym, Clubhouse, Security, Pet Friendly, Elevator, Balcony",32.894789,-95.849273,2026-02-19
127,Houston Residency 127,Single Family Home,Houston,686 Elm St,2779,Occupied,1,3.0,2813,"Storage, Pool, Parking",32.600709,-95.339891,2024-06-02
128,Austin Lakeview 128,Townhouse,Austin,159 Elm St,1426,Occupied,3,2.5,1491,"Pool, Elevator, Clubhouse, Laundry, Parking, Pet Friendly",30.161805,-97.046014,2025-04-18
129,San Antonio Heights 129,Apartment,San Antonio,583 Main St,962,Occupied,3,2.0,1542,"Laundry, Security, Pool",31.594072,-98.289105,2024-10-20
130,Irving Lakeview 130,Villa,Irving,230 Oak Ave,2483,Occupied,2,2.5,2216,"Laundry, Pool, Gym, Security, Clubhouse, Parking",30.324658,-96.619595,2024-01-04
131,Dallas Gardens 131,Townhouse,Dallas,883 Main St,2687,Occupied,3,3.0,2828,"Pet Friendly, Clubhouse, Security, Pool",30.664774,-95.219064,2024-02-02
132,Irving Residency 132,Single Family Home,Irving,652 Oak Ave,1794,Available,1,1.5,925,"Clubhouse, Parking, Pet Friendly",32.291894,-97.092071,2026-02-11
133,Dallas Heights 133,Villa,Dallas,670 Elm St,1909,Occupied,3,2.0,3009,"Pet Friendly, Balcony, Gym, Security, Elevator",30.47365,-97.448247,2026-01-22
134,Austin Park 134,Condo,Austin,346 Oak Ave,1142,Reserved,3,2.5,2060,"Elevator, Security, Laundry, Pet Friendly, Pool, Gym",31.017611,-95.859544,2024-11-03
135,Austin Park 135,Condo,Austin,967 Lake Rd,2640,Occupied,1,3.0,2356,"Laundry, Pet Friendly, Balcony, Pool",30.85592,-98.223253,2024-04-04
136,Houston Villas 136,Apartment,Houston,410 Main St,3709,Occupied,2,2.5,3127,"Pet Friendly, Elevator, Storage",31.37788,-95.456842,2024-08-04
137,Houston Villas 137,Apartment,Houston,367 Lake Rd,1943,Occupied,4,2.5,3125,"Pet Friendly, Elevator, Security, Laundry, Gym, Storage",31.331877,-96.229475,2025-06-09
138,Arlington Lakeview 138,Condo,Arlington,698 Elm St,4069,Maintenance,1,2.5,1961,"Security, Laundry, Parking, Balcony, Pool",32.294383,-98.44323,2026-01-07
139,Irving Gardens 139,Townhouse,Irving,757 Market Blvd,2301,Occupied,2,1.5,1592,"Clubhouse, Elevator, Security, Gym",32.371762,-96.789826,2025-04-16
140,Austin Square 140,Townhouse,Austin,106 Market Blvd,3900,Occupied,2,1.5,2888,"Elevator, Parking, Pool",33.008158,-96.161246,2024-05-20
141,Houston Heights 141,Apartment,Houston,642 Lake Rd,987,Occupied,4,1.5,1545,"Parking, Clubhouse, Elevator, Storage, Laundry",31.562744,-97.060315,2025-07-02
142,San Antonio Heights 142,Apartment,San Antonio,482 Market Blvd,1684,Maintenance,3,2.5,1088,"Pet Friendly, Storage, Balcony, Laundry",30.940544,-95.717723,2025-04-15
143,Houston Square 143,Villa,Houston,544 Lake Rd,3627,Available,2,1.0,779,"Laundry, Elevator, Clubhouse, Parking, Security, Storage",32.159958,-98.210599,2025-08-02
144,Fort Worth Heights 144,Single Family Home,Fort Worth,312 Elm St,1815,Occupied,1,1.5,2971,"Pool, Balcony, Parking",30.327741,-95.523503,2024-05-27
145,Irving Heights 145,Apartment,Irving,612 Lake Rd,3259,Occupied,2,1.5,1634,"Elevator, Security, Laundry, Clubhouse, Storage, Pool",32.466743,-96.087413,2024-02-24
146,Fort Worth Park 146,Condo,Fort Worth,542 Oak Ave,2345,Occupied,2,1.0,3128,"Security, Parking, Balcony, Laundry, Pet Friendly, Storage",30.498484,-96.564368,2025-11-27
147,Irving Villas 147,Apartment,Irving,555 Lake Rd,1959,Available,3,2.0,951,"Laundry, Gym, Storage, Elevator",30.962451,-98.179678,2026-02-18
148,San Antonio Square 148,Apartment,San Antonio,494 Main St,1717,Occupied,2,1.0,2415,"Pool, Parking, Storage, Gym, Balcony, Elevator",31.789236,-95.754464,2024-10-25
149,Irving Villas 149,Condo,Irving,531 Lake Rd,1944,Occupied,1,3.0,2992,"Gym, Storage, Balcony, Elevator, Laundry, Pet Friendly",30.210772,-97.914774,2025-05-10
150,Fort Worth Square 150,Townhouse,Fort Worth,735 Market Blvd,3902,Occupied,2,1.5,2680,"Clubhouse, Pool, Gym, Storage",29.723686,-97.115078,2026-04-03
151,Plano Villas 151,Condo,Plano,852 Market Blvd,3616,Available,2,2.5,3084,"Storage, Pet Friendly, Clubhouse, Gym, Pool",33.076011,-95.109462,2025-08-12
152,Houston Gardens 152,Townhouse,Houston,572 Oak Ave,4168,Occupied,3,2.0,2259,"Storage, Elevator, Gym, Security",32.386663,-98.405794,2025-03-24
153,San Antonio Park 153,Apartment,San Antonio,647 Elm St,1520,Available,3,2.5,1890,"Laundry, Storage, Pool, Pet Friendly",33.167452,-96.822679,2025-12-09
154,Irving Lakeview 154,Single Family Home,Irving,760 Market Blvd,3823,Occupied,1,2.0,2849,"Pool, Pet Friendly, Security",30.282185,-96.355627,2026-02-09
155,Plano Lakeview 155,Condo,Plano,254 Lake Rd,1353,Available,1,1.0,1709,"Clubhouse, Security, Laundry, Pet Friendly",32.403198,-96.439935,2024-01-26
156,Arlington Villas 156,Apartment,Arlington,587 Main St,1301,Occupied,2,2.5,1125,"Security, Balcony, Storage, Pet Friendly",32.444945,-96.676098,2025-03-24
157,Arlington Park 157,Townhouse,Arlington,573 Oak Ave,1133,Available,1,2.0,1121,"Pool, Gym, Pet Friendly, Balcony, Storage",31.631686,-97.341536,2026-03-27
