request_id,property_id,issue_type,status,priority,created_date,resolved_date,estimated_cost
50,416,Appliance,Closed,Critical,2025-11-09,,280
51,135,Cleaning,Resolved,Medium,2025-08-15,,220
52,237,Appliance,Open,Critical,2025-11-19,2025-11-20,171
53,444,HVAC,Open,Medium,2025-06-09,2025-06-23,857
54,24,General Repair,Resolved,Medium,2025-06-21,2025-06-26,191
55,436,Plumbing,In Progress,Medium,2025-04-28,2025-05-02,325
56,37,Plumbing,In Progress,Medium,2026-02-26,,437
57,235,Security,Closed,Medium,2025-01-02,,551
58,124,Appliance,In Progress,Medium,2025-06-02,2025-06-03,74
59,79,Electrical,Resolved,Medium,2025-07-28,2025-08-02,67
60,21,General Repair,In Progress,Medium,2026-02-03,2026-02-11,671
61,381,Plumbing,Open,Critical,2026-02-19,2026-03-05,1098
62,258,HVAC,Closed,Critical,2025-06-11,2025-06-22,397
63,304,General Repair,In Progress,Critical,2025-01-16,2025-01-28,94
64,424,HVAC,Open,Medium,2025-10-02,2025-10-13,397
65,397,Security,In Progress,Critical,2026-03-20,2026-04-03,1055
66,83,Electrical,In Progress,Critical,2025-12-06,2025-12-10,959
67,137,Plumbing,In Progress,Critical,2025-02-23,2025-03-08,123
68,468,Cleaning,Resolved,Medium,2025-12-19,2025-12-20,892
69,405,Appliance,In Progress,Low,2025-12-06,2025-12-11,1111
70,123,Cleaning,Open,Critical,2025-07-01,2025-07-07,673
71,173,Electrical,Resolved,High,2026-04-08,2026-04-12,327
72,120,Cleaning,Open,Critical,2026-03-23,2026-03-29,423
73,115,Security,Open,Critical,2025-02-02,2025-02-14,443
74,499,Appliance,Resolved,High,2025-09-26,2025-09-27,565
75,183,HVAC,In Progress,Low,2025-06-01,2025-06-08,1057
76,104,Security,Closed,Critical,2025-01-13,,559
77,62,Security,Closed,Medium,2026-05-02,2026-05-13,742
78,149,Plumbing,In Progress,Medium,2025-02-12,2025-02-15,939
79,395,Appliance,Closed,High,2026-04-12,2026-04-20,53
80,433,Cleaning,Open,Medium,2025-11-18,2025-11-29,92
81,395,Appliance,In Progress,Low,2025-08-27,2025-09-07,127
82,112,General Repair,Open,Low,2025-01-13,2025-01-14,153
83,291,General Repair,In Progress,Low,2025-06-27,,57
84,102,Appliance,Open,High,2026-05-08,2026-05-13,265
85,239,Cleaning,Resolved,High,2025-06-14,,210
86,447,Electrical,Resolved,Medium,2026-02-08,2026-02-19,800
87,189,Appliance,Closed,Low,2025-08-16,2025-08-26,232
88,163,Electrical,In Progress,Low,2025-11-06,2025-11-17,458
89,485,Security,In Progress,Critical,2025-05-22,2025-05-28,1135
90,469,HVAC,Resolved,High,2026-05-09,,879
91,110,HVAC,In Progress,High,2025-07-05,,852
92,208,HVAC,Closed,Medium,2025-03-01,2025-03-10,596
93,79,Plumbing,Open,Low,2025-07-08,2025-07-13,508
94,401,Plumbing,Open,Critical,2025-04-11,2025-04-21,954
95,373,Security,Closed,Critical,2025-01-27,2025-02-01,550
96,6,HVAC,Open,Medium,2025-06-14,,114
97,258,HVAC,Resolved,Medium,2025-01-14,2025-01-27,766
98,256,Plumbing,Resolved,Low,2025-10-18,,301
99,385,General Repair,Resolved,Medium,2025-08-29,2025-09-09,1102
100,58,Plumbing,Resolved,Critical,2026-01-06,,543
101,291,HVAC,In Progress,Critical,2025-01-10,2025-01-21,266
102,368,Security,Resolved,Critical,2025-12-20,2026-01-01,1039
103,199,Security,Open,Low,2025-11-06,2025-11-18,1187
104,96,Plumbing,In Progress,Critical,2026-02-02,2026-02-06,647
105,340,Appliance,Open,Critical,2025-05-02,,457
106,360,Appliance,In Progress,Medium,2025-11-24,2025-11-29,595
107,372,HVAC,Resolved,High,2025-01-29,,840
108,122,Plumbing,In Progress,Critical,2025-05-24,2025-06-07,850
109,398,Cleaning,Closed,Low,2025-05-23,,1193
110,476,HVAC,Closed,Critical,2025-11-03,,1050
111,497,Appliance,Closed,Medium,2026-05-20,2026-05-28,646
112,112,Electrical,Resolved,Medium,2025-08-26,2025-09-08,1188
113,263,HVAC,Closed,Medium,2025-03-01,2025-03-07,708
114,452,General Repair,In Progress,Low,2025-01-31,,502
115,310,General Repair,In Progress,Low,2025-12-10,,448
116,38,HVAC,In Progress,Low,2025-08-06,2025-08-15,733
117,339,HVAC,Open,Critical,2026-05-11,2026-05-24,180
118,311,Security,Closed,Medium,2025-07-09,2025-07-19,966
119,397,Plumbing,Resolved,High,2025-09-10,2025-09-17,802
120,155,HVAC,Closed,Critical,2025-07-10,2025-07-12,589
121,498,Security,Open,Low,2026-02-15,2026-02-24,284
122,418,Cleaning,Resolved,High,2025-01-19,,776
123,156,Plumbing,Resolved,Low,2026-02-18,,789
124,168,Plumbing,Open,Low,2025-04-24,,448
125,8,Security,Open,High,2026-02-15,2026-02-17,174
126,164,Appliance,Closed,Low,2026-04-20,2026-04-28,264
127,106,Plumbing,Resolved,Medium,2025-04-24,,983
128,40,Plumbing,In Progress,Critical,2025-02-15,,932
129,470,Cleaning,In Progress,Medium,2025-01-10,2025-01-22,1017
130,318,General Repair,Resolved,High,2025-03-08,,739
131,220,Cleaning,Resolved,High,2025-03-04,2025-03-16,270
132,170,General Repair,Resolved,Medium,2025-07-01,2025-07-07,170
133,312,Plumbing,Closed,Low,2025-02-01,2025-02-12,851
134,132,General Repair,In Progress,Low,2025-10-13,2025-10-17,80
135,14,Plumbing,Open,High,2025-09-12,2025-09-25,399
136,444,Appliance,In Progress,Medium,2025-02-14,2025-02-28,825
137,263,Plumbing,Open,High,2025-08-24,2025-08-28,1092
138,211,Cleaning,Resolved,High,2026-05-23,2026-06-03,357
139,58,Cleaning,Open,Critical,2025-03-10,2025-03-13,277
140,256,Electrical,Closed,Low,2025-11-12,2025-11-13,64
141,387,Security,Open,Medium,2025-08-05,2025-08-07,734
142,159,HVAC,Resolved,Medium,2025-05-20,2025-06-02,1192
143,53,Electrical,Open,Low,2025-04-23,2025-05-01,77
144,462,Electrical,Resolved,High,2025-03-29,,454
145,204,Security,In Progress,High,2025-01-08,2025-01-12,417
146,358,Appliance,Open,Critical,2025-06-22,2025-06-26,432
147,27,General Repair,Resolved,High,2025-11-28,2025-12-02,622
148,118,Security,Closed,Low,2026-01-21,2026-01-22,490
149,15,General Repair,Closed,High,2026-02-06,,862
150,352,Plumbing,Open,Low,2025-07-23,2025-08-03,1035
151,164,Cleaning,Closed,Critical,2025-12-06,,529
152,137,Appliance,In Progress,Medium,2025-07-06,2025-07-11,603
153,121,Security,Resolved,Critical,2025-01-22,2025-01-25,1043
154,69,HVAC,Open,Medium,2025-01-12,2025-01-18,633
155,408,HVAC,Open,Critical,2025-04-11,,232
156,41,Appliance,Resolved,Medium,2025-06-03,2025-06-17,892
157,329,Appliance,Closed,Medium,2025-04-03,,325
158,326,Security,Closed,Medium,2026-02-17,2026-03-03,444
159,240,Electrical,Closed,Critical,2026-05-04,,58
160,182,HVAC,Open,High,2026-01-06,2026-01-10,270
161,8,General Repair,Resolved,High,2025-08-10,2025-08-15,491
162,30,HVAC,In Progress,Low,2026-04-07,2026-04-15,880
163,258,Electrical,Closed,Low,2025-03-18,,188
164,329,Electrical,Closed,High,2025-07-03,2025-07-13,154
165,433,Electrical,Resolved,High,2026-03-06,2026-03-12,405
166,460,General Repair,In Progress,Low,2025-01-23,2025-01-29,1046
167,456,General Repair,In Progress,Critical,2025-04-15,2025-04-19,497
168,341,Appliance,Open,Low,2025-10-23,2025-10-30,165
169,420,General Repair,Resolved,Critical,2025-11-12,2025-11-25,315
170,62,Electrical,Resolved,High,2025-10-11,,1148
171,93,Plumbing,Open,High,2026-04-10,2026-04-23,857
172,299,Electrical,Closed,Medium,2025-07-03,2025-07-12,658
173,390,Security,Open,Critical,2026-05-02,2026-05-04,1012
174,444,General Repair,Resolved,Low,2026-03-14,2026-03-15,587
175,138,General Repair,Open,Critical,2025-08-16,2025-08-17,855
176,127,Appliance,Open,Critical,2026-01-05,,135
177,320,HVAC,Open,Critical,2026-04-01,,540
178,292,Electrical,Resolved,Low,2026-05-15,,64
179,462,Security,In Progress,Low,2025-07-24,2025-08-05,1101
180,432,Security,Resolved,Low,2025-09-04,,835
181,317,General Repair,Closed,Critical,2025-09-07,,846
182,119,Security,Open,Low,2025-03-10,2025-03-19,51
183,455,Electrical,In Progress,Low,2026-05-04,2026-05-17,777
184,64,Security,Open,Critical,2025-10-06,2025-10-11,1126
185,201,Cleaning,Open,Critical,2025-02-02,,1046
186,161,HVAC,Open,Critical,2025-10-25,2025-10-31,860
187,258,Appliance,Open,High,2026-03-14,,1066
188,479,General Repair,Open,Low,2025-02-24,,439
189,287,Appliance,Closed,Critical,2026-01-07,,235
190,128,Plumbing,Open,Critical,2025-07-11,2025-07-17,651
191,200,Appliance,Closed,Low,2026-01-21,,579
192,487,Appliance,Closed,Medium,2026-05-01,,333
193,201,Appliance,Open,Medium,2025-10-01,2025-10-13,815
194,489,Appliance,Resolved,High,2025-05-12,2025-05-23,110
195,179,HVAC,In Progress,Low,2025-10-25,2025-10-27,634
196,369,General Repair,Open,Critical,2025-09-04,,764
197,59,Plumbing,In Progress,Critical,2025-09-18,2025-10-02,584
198,24,Appliance,Open,Critical,2025-05-23,2025-06-06,1193
199,327,Electrical,In Progress,Critical,2025-08-12,2025-08-13,97
200,116,Appliance,Resolved,Critical,2025-12-11,2025-12-13,729
201,190,HVAC,In Progress,Low,2025-04-13,2025-04-26,449
202,209,Electrical,Open,Low,2025-05-26,,996
203,73,Plumbing,Closed,Critical,2026-02-12,2026-02-17,313
204,26,HVAC,Open,High,2025-11-13,2025-11-24,329
205,433,General Repair,Closed,Medium,2025-03-03,2025-03-13,651
206,293,General Repair,Open,Low,2025-10-12,,1117
207,296,Cleaning,Closed,Medium,2025-06-28,,517
208,387,Cleaning,Resolved,Low,2026-01-26,2026-02-02,803
209,210,Plumbing,In Progress,Medium,2025-02-09,2025-02-22,1055
210,13,HVAC,In Progress,High,2025-08-17,,484
211,139,Cleaning,Closed,Low,2025-05-01,2025-05-13,1118
212,252,Cleaning,In Progress,Critical,2026-02-07,,303
213,475,Electrical,Open,High,2026-01-02,2026-01-06,632
214,252,Cleaning,Resolved,Low,2026-04-01,2026-04-06,929
215,448,Security,In Progress,High,2025-07-20,2025-08-01,301
216,314,Plumbing,In Progress,Low,2025-02-07,,185
217,156,General Repair,Resolved,Medium,2025-07-25,,958
218,133,Plumbing,Open,High,2026-05-29,2026-06-06,389
219,30,Cleaning,Resolved,Medium,2025-12-22,2025-12-24,333
220,384,Security,Open,Critical,2026-03-06,2026-03-07,160
221,293,Cleaning,Open,Medium,2026-02-01,,1116
222,271,Cleaning,Closed,Medium,2025-01-10,,456
223,272,Appliance,Closed,Low,2025-05-12,2025-05-20,359
224,101,Electrical,Open,High,2025-12-13,,246
225,98,Appliance,In Progress,Critical,2026-03-20,2026-04-01,100
226,13,Electrical,Closed,Critical,2025-07-03,,600
227,114,Electrical,Resolved,High,2025-03-10,,809
228,33,Electrical,In Progress,Medium,2026-02-22,2026-03-04,955
229,348,Plumbing,Resolved,Critical,2025-04-28,2025-05-10,1167
230,415,Plumbing,Open,Low,2025-03-21,2025-03-23,888
231,224,Security,Open,Low,2025-01-10,2025-01-12,663
232,494,Plumbing,Resolved,Medium,2026-05-11,2026-05-16,116
233,55,HVAC,Resolved,Low,2025-04-03,,463
234,101,Appliance,Closed,Low,2025-12-15,2025-12-29,990
235,21,HVAC,In Progress,Low,2025-12-03,2025-12-06,1056
236,229,Appliance,Closed,Critical,2025-03-26,2025-03-30,171
237,57,Cleaning,Closed,Medium,2026-04-01,2026-04-11,569
238,376,Security,Closed,High,2025-05-30,2025-06-07,810
239,387,Appliance,Closed,Medium,2026-02-16,2026-02-28,169
240,363,Appliance,In Progress,Low,2026-02-17,2026-02-25,814
241,285,Plumbing,In Progress,Medium,2025-08-12,2025-08-13,490
242,228,Cleaning,Open,Low,2026-01-29,2026-02-07,691
243,168,Electrical,Resolved,Critical,2025-03-03,,214
244,4,Appliance,Closed,Medium,2026-03-06,,1008
245,127,Cleaning,In Progress,Medium,2026-03-18,2026-03-19,296
246,365,Appliance,Resolved,High,2025-02-01,,1001
247,182,Electrical,Open,Low,2025-04-17,2025-05-01,1072
248,115,General Repair,Open,Critical,2025-01-24,2025-01-29,1075
249,59,Plumbing,Resolved,Low,2025-03-26,2025-04-03,392
250,487,Security,Closed,Critical,2025-12-05,,403
251,222,General Repair,Resolved,High,2025-03-27,,842
252,58,Cleaning,In Progress,High,2025-06-16,2025-06-29,1165
253,337,HVAC,In Progress,High,2025-05-31,2025-06-03,342
254,269,General Repair,Resolved,Critical,2025-01-08,2025-01-11,482
255,198,Electrical,Open,Critical,2025-06-24,,561
256,381,General Repair,Open,Medium,2025-12-14,2025-12-28,753
257,483,General Repair,In Progress,High,2025-11-22,,1102
258,485,Security,Open,Low,2026-04-02,2026-04-16,473
259,180,General Repair,In Progress,Medium,2026-05-07,2026-05-13,674
260,48,Cleaning,In Progress,Medium,2025-09-03,2025-09-06,948
261,43,HVAC,In Progress,Low,2026-02-14,2026-02-24,734
262,474,Plumbing,Closed,High,2025-03-02,2025-03-13,206
263,413,Plumbing,In Progress,Low,2026-03-14,,179
264,87,General Repair,Open,Medium,2025-05-29,2025-06-11,680
265,403,General Repair,In Progress,Medium,2026-05-18,2026-05-31,687
266,264,Appliance,In Progress,Critical,2025-10-20,2025-10-29,81
267,360,Electrical,Resolved,Low,2025-05-12,2025-05-16,815
268,339,Security,Open,Medium,2026-04-24,2026-04-29,421
269,414,HVAC,Open,High,2025-04-19,,96
270,291,Electrical,Open,Low,2026-01-19,,876
271,409,HVAC,In Progress,Critical,2025-01-05,2025-01-06,660
272,425,Security,Closed,Critical,2025-10-25,2025-11-07,273
273,360,Appliance,Resolved,Medium,2025-10-20,2025-10-26,177
274,41,General Repair,Closed,Low,2025-08-25,,676
275,439,Cleaning,Resolved,High,2026-01-15,,792
276,87,HVAC,Resolved,Critical,2025-08-14,2025-08-27,696
277,187,HVAC,Resolved,Medium,2025-01-04,2025-01-06,56
278,266,Security,Open,High,2026-05-14,2026-05-27,397
279,89,HVAC,Closed,Critical,2025-07-19,2025-07-27,376
280,188,Appliance,In Progress,High,2025-10-29,2025-11-04,698
281,233,Cleaning,In Progress,High,2025-07-11,2025-07-17,737
282,339,Plumbing,In Progress,Medium,2025-01-09,2025-01-10,995
283,483,Appliance,Closed,Critical,2025-06-12,,373
284,278,Cleaning,Open,Medium,2026-02-11,,720
285,320,HVAC,Open,Critical,2025-01-26,2025-02-05,676
286,442,General Repair,Resolved,Low,2025-08-13,2025-08-16,528
287,368,Plumbing,In Progress,Low,2025-01-18,,192
288,126,Cleaning,In Progress,Medium,2025-05-23,2025-06-01,889
289,264,Appliance,Closed,Critical,2025-11-02,2025-11-09,1038
290,103,Security,Open,High,2025-10-10,2025-10-20,226
291,94,Plumbing,Open,High,2025-06-22,2025-07-05,870
292,17,Cleaning,Open,High,2025-11-21,,895
293,404,Security,Resolved,High,2025-11-07,,829
294,386,HVAC,In Progress,Low,2025-09-24,,78
295,211,Plumbing,Open,High,2026-03-30,2026-04-13,126
296,118,Cleaning,Open,High,2025-06-25,2025-07-04,994
297,53,HVAC,Open,High,2025-02-03,2025-02-10,585
298,390,Electrical,In Progress,Medium,2026-02-15,2026-02-16,184
299,487,Security,Resolved,Critical,2025-11-12,2025-11-24,743
300,325,Security,In Progress,High,2026-05-21,2026-05-27,601
301,57,Electrical,Open,Medium,2026-03-18,,958
302,474,Plumbing,Open,Critical,2026-01-01,2026-01-11,374
303,53,Electrical,Open,Low,2025-12-09,,98
304,363,Security,Closed,High,2026-03-03,,303
305,397,Appliance,Open,Medium,2026-04-02,2026-04-06,116
306,451,Appliance,In Progress,Critical,2025-09-04,2025-09-15,1096
307,54,Security,Open,Low,2025-08-09,,233
308,236,Appliance,Resolved,High,2025-01-24,2025-02-01,193
309,276,Electrical,Resolved,Low,2025-03-08,2025-03-22,105
310,224,Cleaning,Open,High,2025-05-01,2025-05-03,166
311,213,Plumbing,Closed,Critical,2026-05-27,,823
312,247,Electrical,Resolved,Low,2025-01-07,,1022
313,413,Cleaning,Closed,Medium,2025-04-18,,373
314,204,Security,Closed,Low,2025-12-01,2025-12-07,313
315,258,Plumbing,Closed,Critical,2025-10-25,,200
316,257,HVAC,In Progress,High,2025-12-31,2026-01-07,1042
317,277,Appliance,Open,High,2026-03-26,,665
318,473,Plumbing,Closed,Critical,2025-05-06,2025-05-08,226
319,467,Electrical,Resolved,Low,2026-01-02,,698
320,75,Electrical,Closed,Critical,2025-11-08,2025-11-18,932
321,292,Cleaning,Closed,Low,2026-04-02,2026-04-10,1192
322,90,Cleaning,Open,High,2025-05-02,2025-05-06,1065
323,303,HVAC,Open,High,2026-03-11,,1035
324,22,Appliance,In Progress,High,2025-08-04,2025-08-08,193
325,449,Plumbing,Resolved,High,2025-04-14,2025-04-25,1035
326,28,Appliance,In Progress,Low,2025-03-13,,1017
327,260,Appliance,Open,Medium,2025-11-10,,759
328,194,Security,Resolved,Medium,2025-01-15,,100
329,62,Plumbing,In Progress,Medium,2025-07-21,2025-08-03,561
330,333,HVAC,Open,Medium,2025-12-22,2025-12-24,527
331,439,General Repair,Resolved,High,2025-07-23,2025-08-03,1006
332,283,Electrical,Open,Critical,2025-03-17,,691
333,328,Electrical,Resolved,Low,2026-05-07,2026-05-12,828
334,25,Cleaning,Open,Critical,2026-01-30,,940
335,210,Cleaning,Open,Medium,2025-09-30,2025-10-05,879
336,329,HVAC,Resolved,High,2025-08-14,2025-08-20,269
337,352,General Repair,Closed,Low,2025-12-03,2025-12-17,1093
338,119,Cleaning,Closed,Medium,2025-06-01,2025-06-08,524
339,497,Plumbing,Closed,Medium,2025-03-02,,235
340,384,Appliance,Resolved,Medium,2025-02-11,2025-02-15,527
341,92,Appliance,Closed,Medium,2025-12-07,,701
342,60,Cleaning,Open,Low,2025-03-19,,836
343,178,HVAC,Open,Medium,2025-04-04,2025-04-17,400
344,85,Electrical,In Progress,Critical,2026-03-02,,1096
345,281,General Repair,Resolved,Critical,2025-08-23,,728
346,77,Security,Resolved,Medium,2025-02-04,,347
347,195,Security,Open,Medium,2026-04-23,,1076
348,192,HVAC,Closed,High,2025-04-04,,661
349,427,Plumbing,In Progress,Low,2026-04-22,2026-05-01,62
350,461,Cleaning,Closed,Low,2026-05-24,,570
351,184,Security,Closed,Low,2025-01-09,,953
352,27,Plumbing,In Progress,Critical,2025-01-28,2025-01-31,428
353,5,Cleaning,In Progress,High,2025-03-06,2025-03-16,265
354,123,HVAC,Closed,Medium,2026-02-19,,729
355,304,Cleaning,Resolved,Medium,2025-12-31,,401
356,67,Electrical,Resolved,High,2025-11-21,,584
357,126,Plumbing,Resolved,Medium,2025-02-07,2025-02-21,994
358,468,Cleaning,In Progress,Medium,2025-08-27,2025-09-09,268
359,182,Plumbing,Open,High,2025-09-01,2025-09-02,1160
360,15,HVAC,In Progress,Low,2025-10-26,2025-10-27,399
361,166,HVAC,Closed,High,2025-02-16,2025-03-01,1034
362,224,Cleaning,Open,Medium,2025-03-31,2025-04-06,188
363,329,Cleaning,Open,Critical,2025-10-14,2025-10-19,1018
364,422,Electrical,Closed,Low,2025-03-29,2025-04-08,360
365,251,General Repair,Resolved,Low,2025-06-25,2025-07-04,1046
366,276,General Repair,In Progress,Medium,2025-07-25,2025-08-01,795
367,177,General Repair,Closed,Low,2026-04-07,2026-04-13,318
368,362,Plumbing,In Progress,Medium,2025-05-23,,958
369,318,Plumbing,Closed,Critical,2026-03-21,,106
370,18,General Repair,In Progress,Low,2025-03-31,2025-04-13,751
371,354,Cleaning,In Progress,High,2025-03-11,2025-03-23,1177
372,127,Security,Open,Low,2025-08-15,2025-08-25,936
373,282,HVAC,Resolved,Low,2025-09-09,2025-09-20,713
374,329,General Repair,Resolved,Low,2026-02-11,,841
375,13,Cleaning,Resolved,Medium,2025-12-16,,72
376,26,Plumbing,Open,High,2025-12-11,2025-12-14,1071
377,479,Plumbing,Closed,Medium,2025-11-30,,895
378,88,Appliance,In Progress,Medium,2025-06-06,2025-06-12,550
379,261,HVAC,In Progress,Low,2026-02-05,2026-02-11,1195
380,137,Electrical,Open,High,2025-09-29,2025-10-04,655
381,142,Security,In Progress,Low,2026-03-18,2026-04-01,433
382,158,Security,Closed,Critical,2025-12-12,2025-12-16,228
383,409,Security,In Progress,Low,2025-09-06,2025-09-15,118
384,262,Security,In Progress,Low,2025-06-13,2025-06-17,1132
385,469,General Repair,Closed,Medium,2025-12-18,2025-12-22,328
386,44,HVAC,Open,High,2026-03-17,,924
387,328,Electrical,In Progress,Critical,2026-04-12,2026-04-13,980
388,71,Cleaning,Closed,Critical,2026-03-26,2026-04-06,1051
389,121,HVAC,Closed,Low,2025-06-05,2025-06-13,122
390,179,Electrical,Open,Low,2025-01-18,2025-01-24,71
391,369,Appliance,In Progress,Critical,2026-01-14,,395
392,169,Cleaning,Open,Medium,2025-03-08,2025-03-19,773
393,336,Security,In Progress,Critical,2026-01-15,,573
394,223,HVAC,Resolved,Medium,2025-08-30,2025-09-02,380
395,283,Cleaning,In Progress,Low,2025-07-16,,66
396,95,Electrical,In Progress,Medium,2026-05-22,,666
397,156,Plumbing,Open,Low,2025-10-23,2025-10-27,664
398,148,Cleaning,In Progress,Medium,2025-10-08,2025-10-20,323
399,257,Cleaning,In Progress,Critical,2025-03-15,2025-03-28,546
400,102,Cleaning,Closed,Medium,2025-09-26,2025-10-01,1140
401,406,HVAC,In Progress,Critical,2025-09-27,,348
402,327,HVAC,Resolved,High,2025-06-04,,640
403,287,Security,Closed,High,2025-06-16,2025-06-22,804
404,305,Cleaning,Resolved,Low,2026-05-20,,100
405,2,Plumbing,Open,Critical,2026-03-26,2026-04-01,274
406,202,General Repair,Open,Medium,2025-08-07,2025-08-12,616
407,428,Security,Resolved,High,2026-01-31,,867
408,452,Security,Resolved,Critical,2026-01-28,2026-01-29,426
409,341,Cleaning,Closed,Medium,2025-01-29,2025-02-10,690
410,41,Security,Open,Critical,2025-09-01,2025-09-14,338
411,236,HVAC,Resolved,Critical,2025-08-20,,683
412,320,Plumbing,Resolved,High,2025-11-02,2025-11-08,617
413,298,Electrical,Closed,Low,2025-11-24,2025-12-07,769
414,140,Plumbing,Resolved,Critical,2025-10-30,2025-11-09,300
415,175,Electrical,In Progress,Medium,2025-01-13,,724
416,35,Security,Closed,Critical,2026-01-17,2026-01-19,828
417,360,HVAC,Open,Low,2025-11-20,2025-11-21,1123
418,226,Appliance,Open,High,2026-03-09,2026-03-18,111
419,31,Security,Closed,Low,2025-11-06,2025-11-07,367
420,193,Security,In Progress,Medium,2026-05-25,2026-05-26,536
421,159,General Repair,Closed,High,2025-05-15,,970
422,259,Cleaning,Resolved,Medium,2025-10-30,2025-11-12,180
423,190,Plumbing,Resolved,Critical,2025-12-12,2025-12-23,660
424,315,Security,Closed,Medium,2025-08-28,2025-09-03,327
425,18,Electrical,Open,Low,2025-10-07,2025-10-12,335
426,427,General Repair,In Progress,Critical,2026-03-01,2026-03-11,1032
427,354,Appliance,Resolved,Critical,2025-07-07,2025-07-13,1091
428,414,Cleaning,Closed,Low,2025-12-16,2025-12-27,709
429,241,Appliance,Closed,High,2026-01-08,,384
430,419,Appliance,Open,High,2025-03-26,2025-03-31,1075
431,431,Cleaning,Resolved,Medium,2025-09-15,2025-09-17,1144
432,300,HVAC,Open,High,2025-07-19,2025-07-23,153
433,228,General Repair,In Progress,Low,2026-01-30,,564
434,442,Cleaning,Open,Medium,2025-05-20,,614
435,65,Plumbing,Closed,Medium,2025-05-04,,1080
436,145,Electrical,Closed,High,2026-01-30,2026-02-12,892
437,287,Appliance,Resolved,Low,2025-11-12,2025-11-14,540
438,484,Electrical,In Progress,Medium,2025-11-06,2025-11-12,98
439,142,Security,Open,High,2025-11-10,2025-11-22,276
440,492,General Repair,Closed,Medium,2025-02-23,2025-03-06,117
441,79,Plumbing,Open,Low,2025-01-04,2025-01-07,790
442,262,Security,Open,High,2026-02-25,2026-03-04,50
443,70,HVAC,Open,Medium,2025-06-15,,113
444,64,Appliance,Resolved,High,2025-04-18,2025-04-20,1053
445,72,Cleaning,Open,Medium,2025-05-20,,294
446,67,Appliance,In Progress,Critical,2026-01-18,2026-01-25,59
447,129,Electrical,Closed,Low,2025-02-16,2025-02-28,482
448,399,General Repair,Open,Low,2025-01-15,2025-01-26,606
449,299,Electrical,Resolved,High,2025-12-25,2025-12-26,482
450,187,General Repair,In Progress,High,2025-04-25,,1059
451,197,Appliance,Resolved,Critical,2025-10-18,2025-10-28,979
452,318,Cleaning,Open,Low,2025-06-08,2025-06-21,212
