payment_id,tenant_id,lease_id,property_id,due_date,paid_date,amount_due,amount_paid,status,days_late
48,1249,5,9,2025-04-01,2025-04-06,3403,3403,PAID,0
49,1249,5,9,2025-05-01,2025-05-07,3403,3403,PAID,0
50,1249,5,9,2025-06-01,2025-06-07,3403,2288,PARTIAL,0
51,1249,5,9,2025-07-01,2025-07-08,3403,3403,PAID,0
52,1249,5,9,2025-08-01,2025-08-08,3403,1361,PARTIAL,0
53,1249,5,9,2025-09-01,2025-09-05,3403,3403,PAID,0
54,1249,5,9,2025-10-01,,3403,0,PENDING,240
55,1249,5,9,2025-11-01,2025-11-05,3403,3403,PAID,0
56,1249,5,9,2025-12-01,2025-12-07,3403,3403,PAID,0
57,1249,5,9,2026-01-01,2026-01-02,3403,3403,PAID,0
58,1249,5,9,2026-02-01,2026-02-06,3403,3403,PAID,0
59,1249,5,9,2026-03-01,,3403,0,PENDING,89
60,1249,5,9,2026-04-01,2026-04-05,3403,3403,PAID,0
61,1249,5,9,2026-05-01,2026-05-06,3403,3403,PAID,0
62,1829,6,10,2025-08-01,2025-08-05,3652,3652,PAID,0
63,1829,6,10,2025-09-01,2025-09-03,3652,3652,PAID,0
64,1829,6,10,2025-10-01,2025-10-07,3652,3652,PAID,0
65,1829,6,10,2025-11-01,2025-11-05,3652,3652,PAID,0
66,1829,6,10,2025-12-01,,3652,0,PENDING,179
67,1829,6,10,2026-01-01,2026-01-02,3652,3652,PAID,0
68,1829,6,10,2026-02-01,2026-02-02,3652,3652,PAID,0
69,1829,6,10,2026-03-01,2026-03-08,3652,3652,PAID,0
70,1829,6,10,2026-04-01,2026-04-02,3652,3652,PAID,0
71,1829,6,10,2026-05-01,2026-05-08,3652,3652,PAID,0
72,790,7,14,2024-07-01,2024-07-07,3621,3621,PAID,0
73,790,7,14,2024-08-01,2024-08-04,3621,3621,PAID,0
74,790,7,14,2024-09-01,2024-09-05,3621,3621,PAID,0
75,790,7,14,2024-10-01,2024-10-03,3621,3621,PAID,0
76,790,7,14,2024-11-01,2024-11-05,3621,3621,PAID,0
77,790,7,14,2024-12-01,2024-12-07,3621,3621,PAID,0
78,790,7,14,2025-01-01,2025-01-07,3621,3621,PAID,0
79,1379,8,15,2024-10-01,2024-10-01,2118,2118,PAID,0
80,1379,8,15,2024-11-01,2024-11-02,2118,2118,PAID,0
81,1379,8,15,2024-12-01,,2118,0,PENDING,544
82,1379,8,15,2025-01-01,2025-01-08,2118,818,PARTIAL,0
83,1379,8,15,2025-02-01,,2118,0,PENDING,482
84,1379,8,15,2025-03-01,2025-03-04,2118,2118,PAID,0
85,1379,8,15,2025-04-01,2025-04-05,2118,2118,PAID,0
86,1618,9,17,2025-08-01,2025-08-03,3265,3265,PAID,0
87,1618,9,17,2025-09-01,2025-09-01,3265,3265,PAID,0
88,1618,9,17,2025-10-01,2025-10-07,3265,3265,PAID,0
89,1618,9,17,2025-11-01,2025-11-07,3265,3265,PAID,0
90,1618,9,17,2025-12-01,2025-12-04,3265,3265,PAID,0
91,1618,9,17,2026-01-01,2026-01-02,3265,3265,PAID,0
92,1618,9,17,2026-02-01,2026-02-07,3265,3265,PAID,0
93,1618,9,17,2026-03-01,2026-03-01,3265,3265,PAID,0
94,1618,9,17,2026-04-01,2026-04-01,3265,3265,PAID,0
95,1618,9,17,2026-05-01,2026-05-09,3265,1279,PARTIAL,0
96,1808,10,20,2025-11-01,2025-11-01,3548,3548,PAID,0
97,1808,10,20,2025-12-01,2025-12-05,3548,3548,PAID,0
98,1808,10,20,2026-01-01,2026-01-01,3548,3548,PAID,0
99,1808,10,20,2026-02-01,2026-02-08,3548,3548,PAID,0
100,1808,10,20,2026-03-01,,3548,0,PENDING,89
101,1808,10,20,2026-04-01,2026-04-08,3548,3548,PAID,0
102,1808,10,20,2026-05-01,2026-05-08,3548,3548,PAID,0
103,1966,11,21,2025-08-01,2025-08-07,1258,1258,PAID,0
104,1966,11,21,2025-09-01,2025-09-02,1258,1258,PAID,0
105,1966,11,21,2025-10-01,,1258,0,OVERDUE,240
106,1966,11,21,2025-11-01,2025-11-03,1258,1258,PAID,0
107,1966,11,21,2025-12-01,2025-12-06,1258,1258,PAID,0
108,1966,11,21,2026-01-01,2026-01-01,1258,1258,PAID,0
109,1966,11,21,2026-02-01,2026-02-05,1258,1258,PAID,0
110,418,12,24,2024-01-01,2024-01-05,2388,2388,PAID,0
111,418,12,24,2024-02-01,,2388,0,PENDING,848
112,418,12,24,2024-03-01,2024-03-06,2388,2388,PAID,0
113,418,12,24,2024-04-01,,2388,0,PENDING,788
114,418,12,24,2024-05-01,,2388,0,OVERDUE,758
115,418,12,24,2024-06-01,2024-06-02,2388,2388,PAID,0
116,418,12,24,2024-07-01,2024-07-08,2388,2388,PAID,0
117,440,13,26,2024-06-01,2024-06-06,3502,3502,PAID,0
118,440,13,26,2024-07-01,2024-07-02,3502,3502,PAID,0
119,440,13,26,2024-08-01,2024-08-03,3502,3502,PAID,0
120,440,13,26,2024-09-01,2024-09-08,3502,3502,PAID,0
121,440,13,26,2024-10-01,2024-10-01,3502,3502,PAID,0
122,440,13,26,2024-11-01,2024-11-08,3502,3502,PAID,0
123,440,13,26,2024-12-01,2024-12-01,3502,3502,PAID,0
124,440,13,26,2025-01-01,2025-01-08,3502,3502,PAID,0
125,440,13,26,2025-02-01,2025-02-07,3502,3502,PAID,0
126,440,13,26,2025-03-01,2025-03-01,3502,3502,PAID,0
127,440,13,26,2025-04-01,2025-04-02,3502,3502,PAID,0
128,440,13,26,2025-05-01,2025-05-08,3502,3502,PAID,0
129,440,13,26,2025-06-01,2025-06-08,3502,1407,PARTIAL,0
130,440,13,26,2025-07-01,2025-07-07,3502,3502,PAID,0
131,440,13,26,2025-08-01,2025-08-08,3502,3502,PAID,0
132,440,13,26,2025-09-01,2025-09-04,3502,3502,PAID,0
133,440,13,26,2025-10-01,2025-10-04,3502,3502,PAID,0
134,440,13,26,2025-11-01,2025-11-07,3502,3502,PAID,0
135,440,13,26,2025-12-01,2025-12-02,3502,3502,PAID,0
136,1669,14,27,2024-04-01,,3724,0,OVERDUE,788
137,1669,14,27,2024-05-01,2024-05-05,3724,3724,PAID,0
138,1669,14,27,2024-06-01,2024-06-06,3724,3724,PAID,0
139,1669,14,27,2024-07-01,,3724,0,PENDING,697
140,1669,14,27,2024-08-01,2024-08-01,3724,3724,PAID,0
141,1669,14,27,2024-09-01,2024-09-05,3724,3724,PAID,0
142,1669,14,27,2024-10-01,2024-10-05,3724,3724,PAID,0
143,1669,14,27,2024-11-01,2024-11-03,3724,3724,PAID,0
144,1669,14,27,2024-12-01,2024-12-07,3724,3724,PAID,0
145,1669,14,27,2025-01-01,2025-01-08,3724,2748,PARTIAL,0
146,1669,14,27,2025-02-01,2025-02-01,3724,3724,PAID,0
147,1669,14,27,2025-03-01,,3724,0,PENDING,454
148,1669,14,27,2025-04-01,2025-04-07,3724,3724,PAID,0
149,991,15,28,2024-05-01,2024-05-08,3043,3043,PAID,0
150,991,15,28,2024-06-01,2024-06-08,3043,3043,PAID,0
151,991,15,28,2024-07-01,2024-07-08,3043,3043,PAID,0
152,991,15,28,2024-08-01,2024-08-06,3043,3043,PAID,0
153,991,15,28,2024-09-01,2024-09-02,3043,3043,PAID,0
154,991,15,28,2024-10-01,2024-10-06,3043,3043,PAID,0
155,991,15,28,2024-11-01,2024-11-03,3043,3043,PAID,0
156,835,16,29,2024-10-01,2024-10-01,1952,1952,PAID,0
157,835,16,29,2024-11-01,2024-11-07,1952,1952,PAID,0
158,835,16,29,2024-12-01,,1952,0,OVERDUE,544
159,835,16,29,2025-01-01,,1952,0,PENDING,513
160,835,16,29,2025-02-01,2025-02-01,1952,1952,PAID,0
161,835,16,29,2025-03-01,2025-03-01,1952,1952,PAID,0
162,835,16,29,2025-04-01,2025-04-06,1952,1952,PAID,0
163,835,16,29,2025-05-01,2025-05-05,1952,1952,PAID,0
164,835,16,29,2025-06-01,,1952,0,OVERDUE,362
165,835,16,29,2025-07-01,2025-07-04,1952,1952,PAID,0
166,835,16,29,2025-08-01,2025-08-02,1952,1952,PAID,0
167,835,16,29,2025-09-01,2025-09-04,1952,1952,PAID,0
168,835,16,29,2025-10-01,2025-10-05,1952,1952,PAID,0
169,1844,17,30,2025-09-01,2025-09-05,1670,1670,PAID,0
170,1844,17,30,2025-10-01,2025-10-04,1670,1670,PAID,0
171,1844,17,30,2025-11-01,2025-11-05,1670,1670,PAID,0
172,1844,17,30,2025-12-01,,1670,0,OVERDUE,179
173,1844,17,30,2026-01-01,2026-01-02,1670,1670,PAID,0
174,1844,17,30,2026-02-01,,1670,0,PENDING,117
175,1844,17,30,2026-03-01,2026-03-04,1670,1670,PAID,0
176,1844,17,30,2026-04-01,2026-04-02,1670,1670,PAID,0
177,1844,17,30,2026-05-01,2026-05-02,1670,1670,PAID,0
178,1530,18,31,2025-05-01,2025-05-06,2697,2697,PAID,0
179,1530,18,31,2025-06-01,2025-06-07,2697,2697,PAID,0
180,1530,18,31,2025-07-01,2025-07-07,2697,2697,PAID,0
181,1530,18,31,2025-08-01,2025-08-04,2697,2697,PAID,0
182,1530,18,31,2025-09-01,2025-09-06,2697,2697,PAID,0
183,1530,18,31,2025-10-01,2025-10-02,2697,2697,PAID,0
184,1530,18,31,2025-11-01,2025-11-06,2697,2697,PAID,0
185,1530,18,31,2025-12-01,2025-12-02,2697,2697,PAID,0
186,1530,18,31,2026-01-01,,2697,0,OVERDUE,148
187,1530,18,31,2026-02-01,2026-02-08,2697,2697,PAID,0
188,1530,18,31,2026-03-01,2026-03-03,2697,2697,PAID,0
189,1530,18,31,2026-04-01,2026-04-07,2697,2697,PAID,0
190,1530,18,31,2026-05-01,,2697,0,PENDING,28
191,171,19,35,2025-07-01,2025-07-08,1155,1155,PAID,0
192,171,19,35,2025-08-01,2025-08-06,1155,1155,PAID,0
193,171,19,35,2025-09-01,2025-09-02,1155,1155,PAID,0
194,171,19,35,2025-10-01,2025-10-02,1155,1155,PAID,0
195,171,19,35,2025-11-01,,1155,0,OVERDUE,209
196,171,19,35,2025-12-01,,1155,0,OVERDUE,179
197,171,19,35,2026-01-01,2026-01-02,1155,1155,PAID,0
198,171,19,35,2026-02-01,2026-02-06,1155,1155,PAID,0
199,171,19,35,2026-03-01,2026-03-08,1155,1155,PAID,0
200,171,19,35,2026-04-01,2026-04-06,1155,1155,PAID,0
201,171,19,35,2026-05-01,2026-05-03,1155,1155,PAID,0
202,1036,20,37,2024-11-01,2024-11-01,3815,3815,PAID,0
203,1036,20,37,2024-12-01,2024-12-08,3815,3815,PAID,0
204,1036,20,37,2025-01-01,2025-01-07,3815,3815,PAID,0
205,1036,20,37,2025-02-01,2025-02-05,3815,3815,PAID,0
206,1036,20,37,2025-03-01,,3815,0,PENDING,454
207,1036,20,37,2025-04-01,2025-04-06,3815,3815,PAID,0
208,1036,20,37,2025-05-01,2025-05-07,3815,3815,PAID,0
209,689,21,39,2024-05-01,2024-05-08,2433,2433,PAID,0
210,689,21,39,2024-06-01,2024-06-06,2433,2433,PAID,0
211,689,21,39,2024-07-01,2024-07-02,2433,2433,PAID,0
212,689,21,39,2024-08-01,2024-08-04,2433,2433,PAID,0
213,689,21,39,2024-09-01,2024-09-08,2433,2433,PAID,0
214,689,21,39,2024-10-01,2024-10-07,2433,2433,PAID,0
215,689,21,39,2024-11-01,,2433,0,PENDING,574
216,1301,22,40,2025-09-01,2025-09-08,4023,4023,PAID,0
217,1301,22,40,2025-10-01,2025-10-04,4023,4023,PAID,0
218,1301,22,40,2025-11-01,2025-11-01,4023,4023,PAID,0
219,1301,22,40,2025-12-01,2025-12-08,4023,4023,PAID,0
220,1301,22,40,2026-01-01,2026-01-04,4023,4023,PAID,0
221,1301,22,40,2026-02-01,2026-02-03,4023,4023,PAID,0
222,1301,22,40,2026-03-01,,4023,0,OVERDUE,89
223,1301,22,40,2026-04-01,2026-04-02,4023,4023,PAID,0
224,1301,22,40,2026-05-01,,4023,0,PENDING,28
225,234,23,42,2024-05-01,2024-05-06,2461,2461,PAID,0
226,234,23,42,2024-06-01,2024-06-03,2461,2461,PAID,0
227,234,23,42,2024-07-01,2024-07-03,2461,2461,PAID,0
228,234,23,42,2024-08-01,2024-08-06,2461,2461,PAID,0
229,234,23,42,2024-09-01,2024-09-07,2461,2461,PAID,0
230,234,23,42,2024-10-01,2024-10-07,2461,2461,PAID,0
231,234,23,42,2024-11-01,2024-11-13,2461,1044,PARTIAL,0
232,234,23,42,2024-12-01,2024-12-05,2461,2461,PAID,0
233,234,23,42,2025-01-01,2025-01-13,2461,1271,PARTIAL,0
234,234,23,42,2025-02-01,2025-02-01,2461,2461,PAID,0
235,234,23,42,2025-03-01,2025-03-07,2461,2461,PAID,0
236,234,23,42,2025-04-01,2025-04-03,2461,2461,PAID,0
237,234,23,42,2025-05-01,2025-05-02,2461,2461,PAID,0
238,1809,24,43,2024-07-01,,1734,0,PENDING,697
239,1809,24,43,2024-08-01,2024-08-06,1734,1734,PAID,0
240,1809,24,43,2024-09-01,2024-09-07,1734,1734,PAID,0
241,1809,24,43,2024-10-01,2024-10-03,1734,1734,PAID,0
242,1809,24,43,2024-11-01,2024-11-03,1734,1734,PAID,0
243,1809,24,43,2024-12-01,2024-12-07,1734,1734,PAID,0
244,1809,24,43,2025-01-01,2025-01-08,1734,1734,PAID,0
245,1809,24,43,2025-02-01,2025-02-07,1734,1734,PAID,0
246,1809,24,43,2025-03-01,,1734,0,OVERDUE,454
247,1809,24,43,2025-04-01,2025-04-05,1734,1734,PAID,0
248,1809,24,43,2025-05-01,2025-05-07,1734,1734,PAID,0
249,1809,24,43,2025-06-01,2025-06-04,1734,1734,PAID,0
250,1809,24,43,2025-07-01,2025-07-06,1734,1734,PAID,0
251,1293,25,44,2024-01-01,,2146,0,PENDING,879
252,1293,25,44,2024-02-01,2024-02-05,2146,2146,PAID,0
253,1293,25,44,2024-03-01,2024-03-01,2146,2146,PAID,0
254,1293,25,44,2024-04-01,2024-04-03,2146,2146,PAID,0
255,1293,25,44,2024-05-01,2024-05-07,2146,2146,PAID,0
256,1293,25,44,2024-06-01,2024-06-06,2146,2146,PAID,0
257,1293,25,44,2024-07-01,2024-07-08,2146,2146,PAID,0
258,1293,25,44,2024-08-01,2024-08-05,2146,2146,PAID,0
259,1293,25,44,2024-09-01,2024-09-06,2146,2146,PAID,0
260,1293,25,44,2024-10-01,2024-10-06,2146,2146,PAID,0
261,1293,25,44,2024-11-01,2024-11-01,2146,2146,PAID,0
262,1293,25,44,2024-12-01,2024-12-08,2146,2146,PAID,0
263,1293,25,44,2025-01-01,2025-01-06,2146,2146,PAID,0
264,1974,26,46,2025-10-01,2025-10-03,2706,2706,PAID,0
265,1974,26,46,2025-11-01,2025-11-02,2706,2706,PAID,0
266,1974,26,46,2025-12-01,2025-12-01,2706,2706,PAID,0
267,1974,26,46,2026-01-01,2026-01-05,2706,2706,PAID,0
268,1974,26,46,2026-02-01,2026-02-03,2706,2706,PAID,0
269,1974,26,46,2026-03-01,2026-03-07,2706,2706,PAID,0
270,1974,26,46,2026-04-01,2026-04-03,2706,2706,PAID,0
271,1974,26,46,2026-05-01,2026-05-04,2706,2706,PAID,0
272,1111,27,47,2024-09-01,2024-09-03,2795,2795,PAID,0
273,1111,27,47,2024-10-01,2024-10-03,2795,2795,PAID,0
274,1111,27,47,2024-11-01,2024-11-02,2795,2795,PAID,0
275,1111,27,47,2024-12-01,2024-12-08,2795,2795,PAID,0
276,1111,27,47,2025-01-01,,2795,0,PENDING,513
277,1111,27,47,2025-02-01,2025-02-08,2795,2795,PAID,0
278,1111,27,47,2025-03-01,2025-03-02,2795,2795,PAID,0
279,1111,27,47,2025-04-01,2025-04-07,2795,1451,PARTIAL,0
280,1111,27,47,2025-05-01,2025-05-05,2795,2795,PAID,0
281,1111,27,47,2025-06-01,2025-06-06,2795,2795,PAID,0
282,1111,27,47,2025-07-01,2025-07-05,2795,2795,PAID,0
283,1111,27,47,2025-08-01,,2795,0,PENDING,301
284,1111,27,47,2025-09-01,2025-09-04,2795,2795,PAID,0
285,1111,27,47,2025-10-01,2025-10-03,2795,2795,PAID,0
286,1111,27,47,2025-11-01,,2795,0,OVERDUE,209
287,1111,27,47,2025-12-01,,2795,0,PENDING,179
288,1111,27,47,2026-01-01,,2795,0,OVERDUE,148
289,1111,27,47,2026-02-01,2026-02-03,2795,2795,PAID,0
290,1111,27,47,2026-03-01,2026-03-03,2795,2795,PAID,0
291,1870,28,49,2025-02-01,2025-02-01,2065,2065,PAID,0
292,1870,28,49,2025-03-01,2025-03-05,2065,2065,PAID,0
293,1870,28,49,2025-04-01,2025-04-07,2065,2065,PAID,0
294,1870,28,49,2025-05-01,2025-05-02,2065,2065,PAID,0
295,1870,28,49,2025-06-01,2025-06-01,2065,2065,PAID,0
296,1870,28,49,2025-07-01,,2065,0,PENDING,332
297,1870,28,49,2025-08-01,2025-08-01,2065,2065,PAID,0
298,1870,28,49,2025-09-01,,2065,0,OVERDUE,270
299,1870,28,49,2025-10-01,,2065,0,PENDING,240
300,1870,28,49,2025-11-01,2025-11-04,2065,2065,PAID,0
301,1870,28,49,2025-12-01,2025-12-01,2065,2065,PAID,0
302,1870,28,49,2026-01-01,,2065,0,OVERDUE,148
303,1662,29,50,2024-11-01,2024-11-01,4075,4075,PAID,0
304,1662,29,50,2024-12-01,2024-12-04,4075,4075,PAID,0
305,1662,29,50,2025-01-01,2025-01-07,4075,4075,PAID,0
306,1662,29,50,2025-02-01,,4075,0,PENDING,482
307,1662,29,50,2025-03-01,2025-03-05,4075,4075,PAID,0
308,1662,29,50,2025-04-01,2025-04-04,4075,4075,PAID,0
309,1662,29,50,2025-05-01,,4075,0,PENDING,393
310,1662,29,50,2025-06-01,,4075,0,PENDING,362
311,1662,29,50,2025-07-01,2025-07-05,4075,4075,PAID,0
312,1662,29,50,2025-08-01,,4075,0,PENDING,301
313,1662,29,50,2025-09-01,2025-09-04,4075,4075,PAID,0
314,1662,29,50,2025-10-01,,4075,0,OVERDUE,240
315,1662,29,50,2025-11-01,2025-11-04,4075,4075,PAID,0
316,1537,30,51,2025-09-01,,2130,0,OVERDUE,270
317,1537,30,51,2025-10-01,2025-10-07,2130,2130,PAID,0
318,1537,30,51,2025-11-01,2025-11-06,2130,2130,PAID,0
319,1537,30,51,2025-12-01,2025-12-03,2130,2130,PAID,0
320,1537,30,51,2026-01-01,,2130,0,OVERDUE,148
321,1537,30,51,2026-02-01,2026-02-06,2130,2130,PAID,0
322,1537,30,51,2026-03-01,2026-03-04,2130,2130,PAID,0
323,1537,30,51,2026-04-01,2026-04-04,2130,2130,PAID,0
324,1537,30,51,2026-05-01,2026-05-03,2130,2130,PAID,0
325,1695,31,52,2024-04-01,2024-04-13,3073,1297,PARTIAL,0
326,1695,31,52,2024-05-01,,3073,0,PENDING,758
327,1695,31,52,2024-06-01,2024-06-02,3073,3073,PAID,0
328,1695,31,52,2024-07-01,,3073,0,PENDING,697
329,1695,31,52,2024-08-01,2024-08-01,3073,3073,PAID,0
330,1695,31,52,2024-09-01,2024-09-07,3073,3073,PAID,0
331,1695,31,52,2024-10-01,2024-10-07,3073,3073,PAID,0
332,1695,31,52,2024-11-01,2024-11-08,3073,3073,PAID,0
333,1695,31,52,2024-12-01,2024-12-06,3073,3073,PAID,0
334,1695,31,52,2025-01-01,,3073,0,PENDING,513
335,1695,31,52,2025-02-01,2025-02-03,3073,3073,PAID,0
336,1695,31,52,2025-03-01,2025-03-05,3073,3073,PAID,0
337,1695,31,52,2025-04-01,2025-04-04,3073,3073,PAID,0
338,1573,32,53,2024-11-01,2024-11-05,1006,1006,PAID,0
339,1573,32,53,2024-12-01,2024-12-06,1006,1006,PAID,0
340,1573,32,53,2025-01-01,2025-01-01,1006,1006,PAID,0
341,1573,32,53,2025-02-01,2025-02-07,1006,1006,PAID,0
342,1573,32,53,2025-03-01,2025-03-01,1006,1006,PAID,0
343,1573,32,53,2025-04-01,2025-04-08,1006,1006,PAID,0
344,1573,32,53,2025-05-01,2025-05-18,1006,518,PARTIAL,0
345,825,33,54,2024-05-01,,1948,0,PENDING,758
346,825,33,54,2024-06-01,2024-06-01,1948,1948,PAID,0
347,825,33,54,2024-07-01,2024-07-02,1948,1948,PAID,0
348,825,33,54,2024-08-01,2024-08-03,1948,1948,PAID,0
349,825,33,54,2024-09-01,2024-09-03,1948,1948,PAID,0
350,825,33,54,2024-10-01,2024-10-02,1948,1948,PAID,0
351,825,33,54,2024-11-01,,1948,0,OVERDUE,574
352,825,33,54,2024-12-01,2024-12-05,1948,1948,PAID,0
353,825,33,54,2025-01-01,,1948,0,OVERDUE,513
354,825,33,54,2025-02-01,2025-02-01,1948,1948,PAID,0
355,825,33,54,2025-03-01,2025-03-01,1948,1948,PAID,0
356,825,33,54,2025-04-01,2025-04-03,1948,1948,PAID,0
357,825,33,54,2025-05-01,,1948,0,OVERDUE,393
358,363,34,55,2024-12-01,2024-12-04,3354,3354,PAID,0
359,363,34,55,2025-01-01,2025-01-03,3354,3354,PAID,0
360,363,34,55,2025-02-01,2025-02-03,3354,3354,PAID,0
361,363,34,55,2025-03-01,2025-03-02,3354,3354,PAID,0
362,363,34,55,2025-04-01,2025-04-06,3354,3354,PAID,0
363,363,34,55,2025-05-01,,3354,0,OVERDUE,393
364,363,34,55,2025-06-01,,3354,0,PENDING,362
365,363,34,55,2025-07-01,2025-07-01,3354,3354,PAID,0
366,363,34,55,2025-08-01,2025-08-04,3354,3354,PAID,0
367,363,34,55,2025-09-01,2025-09-10,3354,1614,PARTIAL,0
368,363,34,55,2025-10-01,2025-10-01,3354,3354,PAID,0
369,363,34,55,2025-11-01,2025-11-07,3354,3354,PAID,0
370,363,34,55,2025-12-01,2025-12-05,3354,3354,PAID,0
371,815,35,58,2025-09-01,2025-09-04,3535,3535,PAID,0
372,815,35,58,2025-10-01,2025-10-04,3535,3535,PAID,0
373,815,35,58,2025-11-01,2025-11-03,3535,3535,PAID,0
374,815,35,58,2025-12-01,2025-12-04,3535,3535,PAID,0
375,815,35,58,2026-01-01,2026-01-03,3535,3535,PAID,0
376,815,35,58,2026-02-01,2026-02-03,3535,3535,PAID,0
377,815,35,58,2026-03-01,2026-03-01,3535,3535,PAID,0
378,932,36,60,2024-09-01,2024-09-04,2832,2832,PAID,0
379,932,36,60,2024-10-01,2024-10-05,2832,2832,PAID,0
380,932,36,60,2024-11-01,2024-11-02,2832,2832,PAID,0
381,932,36,60,2024-12-01,2024-12-01,2832,2832,PAID,0
382,932,36,60,2025-01-01,2025-01-06,2832,2832,PAID,0
383,932,36,60,2025-02-01,2025-02-07,2832,2832,PAID,0
384,932,36,60,2025-03-01,2025-03-03,2832,2832,PAID,0
385,932,36,60,2025-04-01,,2832,0,OVERDUE,423
386,932,36,60,2025-05-01,2025-05-04,2832,2832,PAID,0
387,932,36,60,2025-06-01,2025-06-12,2832,1215,PARTIAL,0
388,932,36,60,2025-07-01,2025-07-05,2832,2832,PAID,0
389,932,36,60,2025-08-01,2025-08-05,2832,2832,PAID,0
390,932,36,60,2025-09-01,2025-09-01,2832,2832,PAID,0
391,932,36,60,2025-10-01,2025-10-05,2832,2832,PAID,0
392,932,36,60,2025-11-01,2025-11-04,2832,2832,PAID,0
393,932,36,60,2025-12-01,,2832,0,OVERDUE,179
394,932,36,60,2026-01-01,2026-01-02,2832,2832,PAID,0
395,932,36,60,2026-02-01,2026-02-03,2832,2832,PAID,0
396,932,36,60,2026-03-01,2026-03-02,2832,2832,PAID,0
397,215,37,61,2024-07-01,2024-07-02,1386,1386,PAID,0
398,215,37,61,2024-08-01,2024-08-04,1386,1386,PAID,0
399,215,37,61,2024-09-01,2024-09-03,1386,1386,PAID,0
400,215,37,61,2024-10-01,,1386,0,OVERDUE,605
401,215,37,61,2024-11-01,,1386,0,PENDING,574
402,215,37,61,2024-12-01,2024-12-06,1386,1386,PAID,0
403,215,37,61,2025-01-01,2025-01-07,1386,1386,PAID,0
404,508,38,62,2025-04-01,2025-04-02,2393,2393,PAID,0
405,508,38,62,2025-05-01,,2393,0,OVERDUE,393
406,508,38,62,2025-06-01,2025-06-01,2393,2393,PAID,0
407,508,38,62,2025-07-01,,2393,0,OVERDUE,332
408,508,38,62,2025-08-01,2025-08-08,2393,2393,PAID,0
409,508,38,62,2025-09-01,,2393,0,PENDING,270
410,508,38,62,2025-10-01,2025-10-01,2393,2393,PAID,0
411,508,38,62,2025-11-01,2025-11-03,2393,2393,PAID,0
